"warehouse_code","location_id","owner","product_code","description","expiry_date","pallet_id","quantity_on_hand","age","balance_shelve_life_to_expire","product_group"
"TGIC",3302571,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000028701",1584,1080,1003,"HPC"
"TGIC",3302572,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000028702",1584,1080,1003,"HPC"
"TGIC",3302581,"KEG Asia Private Limited",68540495,"DOVE HW SHEA BUTTER &VANILLA UI 24X250ML","10/4/2023","UINT0000025737",1848,1095,999,"HPC"
"TGIC",3302582,"KEG Asia Private Limited",68540495,"DOVE HW SHEA BUTTER &VANILLA UI 24X250ML","10/4/2023","UINT0000025736",1848,1095,999,"HPC"
"TGIC",3303011,"KEG Asia Private Limited",21142734,"DOVE BAR WHITE 18X(4X4OZ)","5/1/2023","UINT0000001209",1206,720,184,"FOODS"
"TGIC",3303012,"KEG Asia Private Limited",21142734,"DOVE BAR WHITE 18X(4X4OZ)","5/1/2023","UINT0000001210",1080,1080,562,"HPC"
"TGIC",3303021,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000028729",1584,1080,1003,"HPC"
"TGIC",3303022,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000028730",1584,1080,1003,"HPC"
"TGIC",3303031,"KEG Asia Private Limited",68411500,"DOVE 2020UI SAKURA BODYWASH 12X1000ML","5/12/2024","UINT0000032431",0,1095,958,"HPC"
"TGIC",3303041,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","2/15/2022","SYS15680991",3600,1095,285,"HPC"
"TGIC",3303042,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","2/15/2022","SYS15680990",3600,900,40,"HPC"
"TGIC",3303051,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/20/2023","UINT0000003670",1920,720,187,"HPC"
"TGIC",3303052,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/20/2023","UINT0000003669",1920,720,185,"HPC"
"TGIC",3303061,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/20/2023","UINT0000003672",1920,1080,528,"HPC"
"TGIC",3303062,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/20/2023","UINT0000003671",1920,900,361,"HPC"
"TGIC",3303071,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","12/30/2021","SYS15683282",5880,720,159,"HPC"
"TGIC",3303072,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/3/2022","SYS15683281",5880,1080,528,"HPC"
"TGIC",3303081,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/3/2022","SYS15683288",5880,720,151,"HPC"
"TGIC",3303082,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/3/2022","SYS15683287",5880,720,153,"HPC"
"TGIC",3303101,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/7/2022","SYS15681176",5880,720,151,"HPC"
"TGIC",3303102,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/15/2022","SYS15681175",5880,900,361,"HPC"
"TGIC",3303111,"KEG Asia Private Limited",68411500,"DOVE 2020UI SAKURA BODYWASH 12X1000ML","5/12/2024","UINT0000034450",0,730,312,"HPC"
"TGIC",3303112,"KEG Asia Private Limited",68411500,"DOVE 2020UI SAKURA BODYWASH 12X1000ML","5/12/2024","UINT0000034449",0,730,313,"HPC"
